Date,AAPL,MSFT,AMZN,GOOGL,META,ORCL,CRM,ADBE,IBM,INTC,NVDA,CSCO,JPM,BAC,WFC,C,GS,MS,USB,AXP,MA,PNC,BK,V,STT,BBY,CMG,DRI,F,GM,HD,HLT,LOW,MCD,NKE,SBUX,TGT,TSLA,YUM,JNJ,PFE,MRK,ABT,TMO,UNH,BMY,GILD,AMGN,MDT,SNY,LLY,CVS,CI,GOOG,T,VZ,CMCSA,DIS,NFLX,CHTR,WBD,PARA,TMUS,LUMN,BA,LMT,RTX,GE,CAT,MMM,HON,DE,UPS,FDX,UNP,CSX,NOC,GD,ITW,PG,KO,PEP,WMT,COST,CL,KMB,GIS,KR,CAG,SJM,MDLZ,HRL,MO,PM,CLX,K,XOM,CVX,COP,OXY,PSX,MPC,EOG,DVN,KMI,WMB,VLO,HES,PLD,CCI,SPG,EQIX,PSA,AVB,EQR,DLR,WELL,VTR,BXP,REG,KIM,EXR,IRM,LIN,SHW,ECL,APD,FMC,NEM,FCX,NUE,STLD,MT,PPG,VMC,RPM,CF,NEE,DUK,SO,EXC,AEP,D,SRE,ED,XEL,PCG,EIX,FE,CMS,DTE,CNP,ES
2015-04-06,28.440771102905273,35.8607063293457,18.851999282836914,27.06808853149414,82.05329132080078,36.92225646972656,67.56263732910156,76.2300033569336,100.68113708496094,23.98562240600586,0.522059977054596,19.92317008972168,46.235801696777344,12.552386283874512,40.63408660888672,39.249794006347656,157.3427734375,27.282148361206055,30.57149887084961,69.03059387207031,82.16419982910156,67.75972747802734,31.475811004638672,60.8011589050293,56.41243362426758,27.086633682250977,13.200400352478027,44.54153060913086,16.0,28.75881004333496,90.9067153930664,57.576942443847656,62.70273971557617,74.87718963623047,44.35277557373047,38.84228515625,62.75517654418945,13.539999961853027,47.470516204833984,75.16899871826172,21.888858795166016,40.19804382324219,38.267547607421875,129.623779296875,101.00032043457031,46.2022705078125,69.35235595703125,116.4376220703125,60.47050094604492,34.7493896484375,59.2574462890625,78.22422790527344,122.31224822998047,26.638593673706055,12.058989524841309,29.843915939331055,23.233482360839844,97.2472152709961,60.33000183105469,193.19000244140625,32.709999084472656,49.592552185058594,32.34927749633789,17.98029899597168,132.82325744628906,153.39501953125,58.22104263305664,104.41708374023438,62.69182205200195,98.89714050292969,80.9845962524414,74.02228546142578,69.2744140625,144.65798950195312,85.00699615478516,9.487330436706543,138.332275390625,108.72689056396484,77.39339447021484,62.752540588378906,29.983619689941406,71.96929931640625,22.17344856262207,127.81326293945312,55.385398864746094,77.0113525390625,40.3829345703125,31.680843353271484,21.554126739501953,87.71833801269531,29.82312774658203,23.095529556274414,26.948617935180664,47.07926559448242,84.58757019042969,44.309242248535156,54.98480224609375,69.6833724975586,47.53133773803711,56.38747024536133,54.35676956176758,35.93532943725586,71.42669677734375,44.25140380859375,25.079113006591797,28.017261505126953,40.00966262817383,61.40101623535156,33.197662353515625,56.247596740722656,122.07774353027344,186.14637756347656,135.1072540283203,126.42533874511719,47.64891052246094,46.062171936035156,52.980098724365234,55.94831466674805,95.8954086303711,47.485137939453125,16.68858528137207,47.587547302246094,21.063518524169922,101.60574340820312,87.05841827392578,102.66477966308594,110.37114715576172,40.43962097167969,17.844221115112305,17.284605026245117,36.66697311401367,16.118112564086914,26.338518142700195,94.38156127929688,77.6758041381836,38.80485153198242,42.37409210205078,20.416263580322266,51.48460006713867,29.168460845947266,16.906044006347656,39.94607925415039,47.5333137512207,40.3979606628418,42.6868782043457,25.616910934448242,49.80739212036133,44.18161392211914,23.504154205322266,26.356487274169922,50.8441276550293,14.794554710388184,36.555442810058594
2015-04-07,28.141523361206055,35.84343338012695,18.720500946044922,27.113372802734375,81.93384552001953,36.92225646972656,67.82118225097656,75.6500015258789,100.69978332519531,24.155616760253906,0.5266374349594116,20.0476131439209,46.52635192871094,12.511918067932129,40.58900451660156,39.173770904541016,157.62136840820312,27.304943084716797,30.59265899658203,67.90363311767578,82.86160278320312,68.14801025390625,31.53799819946289,61.360694885253906,56.82807159423828,26.980302810668945,13.16919994354248,44.34743881225586,15.899999618530273,28.02924346923828,90.39269256591797,56.741092681884766,61.909149169921875,74.93163299560547,44.29939270019531,38.6573600769043,62.20551681518555,13.550000190734863,46.613162994384766,75.8815689086914,21.92694854736328,40.37379455566406,38.17662811279297,129.1577606201172,100.69996643066406,46.2022705078125,69.99063110351562,117.93730163574219,60.329811096191406,35.03460693359375,59.581520080566406,77.9973373413086,120.52136993408203,26.651248931884766,11.997479438781738,29.627439498901367,23.27739143371582,97.06307983398438,60.494285583496094,189.75,32.91999816894531,49.584388732910156,32.2514762878418,17.995542526245117,134.04652404785156,153.10430908203125,58.03826904296875,103.75357818603516,61.96096420288086,99.33338928222656,80.7055892944336,73.98883056640625,69.15994262695312,148.5550079345703,86.17365264892578,9.57580852508545,138.45977783203125,108.31768035888672,77.53587341308594,62.261295318603516,29.867095947265625,71.76789093017578,22.039291381835938,127.20977020263672,55.19536209106445,76.65302276611328,39.9131965637207,31.429759979248047,21.508800506591797,86.69329833984375,29.82312774658203,23.163434982299805,27.058523178100586,46.80234146118164,84.02552795410156,44.11463165283203,55.3852424621582,70.73918151855469,47.82210159301758,56.60857009887695,53.816993713378906,35.8259162902832,70.97496795654297,44.195587158203125,25.091062545776367,28.145362854003906,39.377891540527344,61.24864196777344,32.43450164794922,56.73099136352539,120.55178833007812,185.46556091308594,133.5350799560547,124.10982513427734,46.8173828125,45.81240463256836,52.09977340698242,54.544166564941406,94.10121154785156,46.44866943359375,16.372894287109375,47.12140655517578,20.52785873413086,102.02958679199219,87.27691650390625,102.60210418701172,109.71076965332031,40.50328063964844,17.52021598815918,17.131162643432617,36.8787956237793,16.35964012145996,26.7479248046875,94.66777801513672,76.53555297851562,39.25230407714844,42.363555908203125,20.174461364746094,51.09635925292969,28.739896774291992,16.891050338745117,39.43539047241211,47.03645324707031,40.15660858154297,42.02109146118164,25.22223472595215,49.08234405517578,43.83086013793945,23.523862838745117,25.85262107849121,50.094085693359375,14.661090850830078,36.02554702758789
2015-04-08,28.049957275390625,35.74850082397461,19.059999465942383,27.311426162719727,81.89403533935547,37.05118179321289,67.83113861083984,75.44000244140625,100.56307220458984,24.19424819946289,0.530491828918457,20.164710998535156,46.67926788330078,12.633318901062012,40.573974609375,39.4550895690918,157.76055908203125,27.548046112060547,30.649126052856445,68.2156753540039,84.1810531616211,68.01612854003906,31.63127899169922,62.01346969604492,57.266361236572266,27.192962646484375,13.090999603271484,45.548770904541016,15.979999542236328,28.32734489440918,91.412841796875,59.30696487426758,62.49391174316406,75.32051086425781,44.846405029296875,39.13405990600586,62.6046028137207,13.844667434692383,46.86453628540039,75.92705535888672,21.99043083190918,40.17695999145508,38.52376937866211,128.96347045898438,101.42076110839844,46.58362579345703,70.82748413085938,120.224365234375,59.712257385253906,34.95990753173828,59.95547866821289,77.84608459472656,122.01533508300781,26.879043579101562,12.0388822555542,29.87676429748535,23.620647430419922,97.91929626464844,63.04999923706055,190.77999877929688,32.84000015258789,49.90205001831055,32.04612350463867,18.041284561157227,134.9617156982422,153.60923767089844,58.21116638183594,103.71212768554688,61.88404846191406,99.3692855834961,80.48856353759766,73.49523162841797,69.1528091430664,149.14517211914062,86.4053726196289,9.490184783935547,139.56466674804688,109.06774139404297,76.99756622314453,62.54846954345703,29.77970314025879,71.63362121582031,22.18439292907715,127.39417266845703,55.345802307128906,76.79632568359375,40.04949951171875,31.65203285217285,21.486133575439453,86.45389556884766,30.137483596801758,23.259302139282227,27.01665496826172,46.501304626464844,83.92678833007812,44.01396560668945,54.293697357177734,69.51393127441406,47.109737396240234,56.45379638671875,53.56788635253906,35.9718132019043,70.80178833007812,43.993202209472656,25.126911163330078,28.011672973632812,39.398048400878906,60.82536697387695,32.546722412109375,56.53233337402344,120.04723358154297,189.2653045654297,133.50115966796875,125.03746032714844,47.022254943847656,46.04830551147461,52.179813385009766,54.63874053955078,94.23612213134766,46.48986053466797,16.366703033447266,47.455352783203125,20.963085174560547,101.6888656616211,88.2024917602539,103.29166412353516,109.55836486816406,40.538658142089844,17.44908332824707,16.986757278442383,37.33379364013672,16.44015121459961,26.474985122680664,95.18553161621094,76.50792694091797,38.552669525146484,42.920867919921875,20.126102447509766,50.866058349609375,28.791845321655273,16.6911563873291,39.162559509277344,46.905723571777344,39.7177734375,42.02803421020508,25.163766860961914,49.201656341552734,43.817115783691406,23.41875457763672,25.83039665222168,49.88676452636719,14.534640312194824,36.07566452026367
2015-04-09,28.26434898376465,35.80027770996094,19.177000045776367,27.270620346069336,81.78455352783203,37.1285285949707,67.3637466430664,76.33000183105469,100.86751556396484,24.140159606933594,0.542778491973877,20.223268508911133,47.00041580200195,12.71424674987793,40.716739654541016,39.6375732421875,159.66952514648438,27.836750030517578,30.747926712036133,68.62313842773438,83.93605041503906,68.5069808959961,31.747886657714844,61.957489013671875,57.598880767822266,27.44107437133789,13.03439998626709,45.33953857421875,15.949999809265137,28.468544006347656,90.6062240600586,60.45383834838867,62.02610397338867,75.0871810913086,44.793052673339844,39.4176139831543,62.71754455566406,14.005999565124512,47.235618591308594,76.81395721435547,22.238012313842773,40.37379455566406,38.846099853515625,129.69174194335938,101.72972106933594,46.53961944580078,71.74235534667969,121.09420013427734,60.290706634521484,35.224754333496094,60.12996292114258,77.42256164550781,122.65559387207031,26.83785057067871,12.053629875183105,29.803796768188477,23.78428840637207,98.29674530029297,62.78571319580078,190.92999267578125,33.209999084472656,49.84502029418945,31.664737701416016,18.22931480407715,135.0145263671875,154.09115600585938,58.23093795776367,106.69782257080078,62.06867980957031,99.68006134033203,80.90711212158203,73.99716186523438,69.17426300048828,150.08255004882812,87.73187255859375,9.644307136535645,139.8706512451172,109.50321960449219,77.01339721679688,62.6391487121582,29.896223068237305,71.872314453125,22.13237953186035,124.7205810546875,55.393314361572266,76.86800384521484,40.26470184326172,31.614994049072266,21.469135284423828,86.89530181884766,30.12942123413086,23.17940902709961,27.142261505126953,46.874568939208984,84.2229995727539,43.94687271118164,54.67475509643555,69.70292663574219,48.70162582397461,57.360321044921875,53.84467697143555,36.41670608520508,72.05912017822266,45.31913757324219,25.300201416015625,28.251195907592773,39.59968948364258,61.274044036865234,31.70125961303711,56.380027770996094,117.41471099853516,190.03317260742188,131.55624389648438,121.693603515625,45.71474838256836,45.340614318847656,51.146080017089844,53.92573928833008,92.6442642211914,45.41221237182617,15.94577407836914,46.55091094970703,20.851482391357422,101.8633804321289,88.32386779785156,103.75735473632812,110.34212493896484,40.574012756347656,17.567630767822266,16.950647354125977,37.49069595336914,16.665576934814453,26.147459030151367,96.11580657958984,76.13091278076172,38.724456787109375,42.899776458740234,20.12029457092285,50.67521667480469,28.876262664794922,16.716144561767578,39.029632568359375,46.65729522705078,39.45813751220703,41.792236328125,25.083372116088867,48.43989944458008,43.583274841308594,23.458168029785156,25.526599884033203,49.630653381347656,14.41521167755127,35.77490997314453
2015-04-10,28.384946823120117,36.00741958618164,19.13249969482422,27.296497344970703,81.65515899658203,37.394962310791016,67.2643051147461,76.52999877929688,101.19059753417969,24.673343658447266,0.5483195781707764,20.523361206054688,47.17626953125,12.722343444824219,40.814422607421875,39.86568832397461,160.2839813232422,27.532859802246094,30.874963760375977,68.99590301513672,83.47423553466797,68.4850082397461,31.763437271118164,61.8642463684082,57.697120666503906,27.348922729492188,13.660400390625,46.419376373291016,16.030000686645508,28.688194274902344,91.13603973388672,60.16227340698242,62.56911087036133,76.05931091308594,44.459503173828125,39.590206146240234,62.92837142944336,14.0600004196167,47.89400863647461,77.36735534667969,22.498289108276367,40.24726104736328,38.97008514404297,129.8470458984375,102.1158447265625,47.404991149902344,72.1749496459961,122.51143646240234,60.91606903076172,35.550716400146484,61.426326751708984,77.55113220214844,123.70417785644531,26.799636840820312,12.083126068115234,29.93149757385254,23.872098922729492,98.46247863769531,64.93856811523438,191.80999755859375,33.040000915527344,50.17081069946289,31.351806640625,18.20391082763672,135.85935974121094,153.29562377929688,58.51743698120117,118.22599029541016,63.54574966430664,99.8473892211914,81.14734649658203,74.515869140625,69.2386474609375,151.34103393554688,89.03439331054688,9.632887840270996,140.53355407714844,109.6080551147461,77.21923065185547,62.98678207397461,29.772438049316406,71.76042938232422,22.080358505249023,125.41620635986328,55.11619567871094,76.58132934570312,40.522945404052734,31.722002029418945,21.44647216796875,87.35172271728516,30.145538330078125,23.15144920349121,27.482450485229492,46.898658752441406,84.05589294433594,44.10792541503906,55.26253128051758,69.67684936523438,48.3599967956543,57.817256927490234,54.211448669433594,36.62092590332031,72.7216567993164,45.263309478759766,25.65275764465332,28.34031105041504,40.144073486328125,61.90049362182617,31.791044235229492,56.08204650878906,116.2839584350586,189.7085723876953,131.25808715820312,121.03205108642578,45.56412124633789,45.25041580200195,50.81262969970703,53.87479019165039,92.7994384765625,45.542625427246094,16.038625717163086,46.66918182373047,20.73988151550293,101.6888656616211,88.2024917602539,104.20513153076172,110.2477798461914,41.2955207824707,17.646652221679688,16.517398834228516,37.82802200317383,16.593124389648438,26.17475700378418,96.60408020019531,76.6366958618164,38.78170394897461,42.856101989746094,20.292463302612305,51.22140121459961,28.973670959472656,16.681167602539062,39.44937515258789,47.00376510620117,39.439842224121094,42.208351135253906,25.339181900024414,48.67852020263672,43.87213134765625,23.812896728515625,25.815574645996094,49.837982177734375,14.583810806274414,36.161598205566406
2015-04-13,28.329116821289062,36.04193878173828,19.118000030517578,27.30147361755371,82.62061309814453,37.0253791809082,66.70741271972656,76.0199966430664,100.89240264892578,24.518800735473633,0.5432605147361755,20.479440689086914,47.45918655395508,12.787083625793457,41.01728820800781,40.04056930541992,160.23483276367188,27.578439712524414,31.114896774291992,68.71846771240234,83.1726303100586,68.74283599853516,31.833402633666992,61.183509826660156,57.92382049560547,27.17877769470215,13.674599647521973,46.297889709472656,15.869999885559082,28.554845809936523,90.50337219238281,59.24864959716797,61.65852737426758,75.77936553955078,44.148197174072266,39.8614387512207,62.46903991699219,13.985333442687988,48.31297302246094,76.22269439697266,22.27610206604004,39.88170623779297,38.65439987182617,128.8664093017578,102.43336486816406,46.89896774291992,72.53661346435547,121.8441162109375,61.03331756591797,35.224754333496094,61.09393310546875,77.24859619140625,123.23094177246094,26.757949829101562,12.123684883117676,29.822040557861328,23.460996627807617,98.05738830566406,67.81143188476562,189.02000427246094,33.029998779296875,49.942771911621094,30.794395446777344,18.081937789916992,134.85618591308594,150.73300170898438,57.99876022338867,114.5768051147461,63.19187545776367,99.1123046875,80.0467758178711,73.62068939208984,68.78080749511719,150.26483154296875,86.67709350585938,9.441664695739746,139.02920532226562,108.68865203857422,77.61505126953125,63.047218322753906,29.64132308959961,71.26065063476562,21.981800079345703,124.89656066894531,54.87864685058594,76.67450714111328,40.47990036010742,31.417423248291016,21.3048152923584,87.46395111083984,30.02463722229004,22.919782638549805,27.09515953063965,46.591617584228516,84.11668395996094,43.926734924316406,55.120418548583984,69.40962219238281,48.221885681152344,57.29396438598633,53.2357292175293,35.450313568115234,71.29118347167969,45.06790542602539,25.682628631591797,28.028390884399414,38.61843490600586,61.56186294555664,31.74615478515625,56.287322998046875,115.71247100830078,189.8036346435547,129.7400665283203,120.6078109741211,45.38334274291992,45.13941192626953,50.345760345458984,53.3509635925293,92.4554214477539,45.281803131103516,15.933391571044922,46.53701400756836,20.605979919433594,100.741455078125,87.94453430175781,103.3722915649414,109.27536010742188,41.52894973754883,17.836322784423828,16.526458740234375,37.153377532958984,16.528717041015625,25.62887954711914,96.64197540283203,76.35161590576172,39.37067794799805,42.77927017211914,20.07000160217285,50.81999588012695,28.700939178466797,16.556224822998047,38.94567108154297,46.474239349365234,39.4691047668457,41.93094253540039,25.046829223632812,48.045257568359375,43.19812774658203,23.445032119750977,25.667381286621094,49.42332458496094,14.443304061889648,35.57441711425781
2015-04-14,28.206287384033203,35.947021484375,19.25550079345703,26.860580444335938,83.12821197509766,36.72460174560547,66.53836059570312,75.94999694824219,100.84268951416016,24.33334732055664,0.5386829972267151,20.355012893676758,48.20084762573242,12.803272247314453,40.716739654541016,40.09379959106445,161.98806762695312,27.98870849609375,30.719703674316406,68.90921783447266,83.99258422851562,68.96380615234375,31.918909072875977,61.10889434814453,57.72735595703125,26.79598617553711,13.557000160217285,45.82546615600586,15.970000267028809,28.617595672607422,90.19497680664062,58.8404541015625,61.8005485534668,75.88823699951172,44.26382064819336,39.69704818725586,62.54435729980469,13.830666542053223,47.65459060668945,76.19995880126953,22.238012313842773,40.605804443359375,38.795623779296875,128.82757568359375,102.9052963256836,46.9576301574707,72.48699188232422,121.90406799316406,60.88480758666992,35.38093948364258,61.0440673828125,77.22591400146484,123.32372283935547,26.322216033935547,12.053629875183105,29.90717887878418,23.540815353393555,98.19548797607422,68.38714599609375,190.88999938964844,32.939998626708984,50.0893669128418,31.16600227355957,18.13275909423828,134.82974243164062,150.95484924316406,58.13706970214844,114.99146270751953,63.853485107421875,99.20195770263672,80.02350616455078,73.55376434326172,69.06695556640625,148.85011291503906,86.43734741210938,9.478765487670898,138.74026489257812,107.34188079833984,78.76298522949219,63.17572021484375,29.502958297729492,71.97676086425781,21.943471908569336,125.31566619873047,55.13201904296875,77.14747619628906,40.62337112426758,30.960554122924805,21.412471771240234,88.12982940673828,30.201963424682617,23.215364456176758,27.278337478637695,47.02508544921875,84.29896545410156,44.00725555419922,55.9536247253418,70.9347152709961,49.69019317626953,58.443687438964844,53.8585205078125,35.75299072265625,72.75286865234375,46.170528411865234,25.700565338134766,28.290185928344727,38.43696594238281,63.17880630493164,32.052913665771484,56.54557800292969,116.37513732910156,191.16517639160156,130.16021728515625,121.90936279296875,45.853336334228516,45.389183044433594,50.80595779418945,53.729312896728516,92.84661865234375,45.43966293334961,15.976729393005371,46.59265899658203,20.57807731628418,100.55859375,88.06289672851562,104.01709747314453,110.18976593017578,41.39454650878906,18.033889770507812,17.15094757080078,37.50638198852539,16.907108306884766,27.10274314880371,95.95586395263672,76.55393981933594,39.28069305419922,42.53676223754883,20.188007354736328,51.056884765625,28.79834747314453,16.721139907836914,39.24649429321289,46.8272705078125,39.61538314819336,42.18061065673828,25.19300651550293,47.9993782043457,43.321929931640625,23.477882385253906,25.77853012084961,49.648948669433594,14.555707931518555,35.96826171875
2015-04-15,28.3134822845459,36.473480224609375,19.172500610351562,26.923282623291016,82.32200622558594,37.807498931884766,66.8366928100586,76.02999877929688,101.97974395751953,25.368803024291992,0.5451877117156982,20.67706298828125,49.09544372558594,12.65759563446045,41.182594299316406,40.458763122558594,164.7572784423828,28.40656280517578,30.649126052856445,69.1346206665039,84.11510467529297,67.91778564453125,31.97333526611328,61.24877166748047,57.833126068115234,26.61876106262207,13.552000045776367,45.25180435180664,16.06999969482422,28.978450775146484,89.720458984375,58.72380447387695,61.32439041137695,75.00164031982422,44.39725112915039,39.5655517578125,61.71604537963867,13.85533332824707,47.64262390136719,76.26060485839844,22.352279663085938,41.09087371826172,38.903621673583984,129.740234375,100.6742172241211,46.517616271972656,73.77772521972656,124.07866668701172,60.90042495727539,35.42169189453125,61.25178527832031,76.93854522705078,120.83684539794922,26.42841911315918,12.1273775100708,30.034875869750977,23.912006378173828,98.49008178710938,67.92285919189453,189.91000366210938,33.380001068115234,50.21967697143555,31.302906036376953,18.391939163208008,134.14332580566406,150.8554229736328,58.22596740722656,113.87185668945312,65.51522064208984,99.47087097167969,80.44207000732422,74.74179077148438,69.11703491210938,147.131591796875,85.82203674316406,9.378868103027344,138.74026489257812,106.93860626220703,78.40670776367188,63.10768127441406,29.4228458404541,72.08118438720703,21.83123016357422,124.93850708007812,55.32997131347656,77.11881256103516,40.49424743652344,30.421356201171875,21.287822723388672,88.34680938720703,30.266441345214844,23.015642166137695,27.011417388916016,47.03712463378906,83.91160583496094,43.732147216796875,56.89019012451172,71.95791625976562,50.44615936279297,60.07244110107422,54.62664031982422,35.74934005737305,73.88420104980469,46.721832275390625,25.951534271240234,28.86389923095703,38.38319778442383,66.10790252685547,31.9855899810791,56.85020446777344,115.53614807128906,190.92767333984375,129.4012451171875,120.80913543701172,45.37732696533203,45.17409896850586,50.30575942993164,53.23458480834961,92.06420135498047,45.10332489013672,15.784836769104004,45.99433898925781,20.315828323364258,100.97415924072266,87.61981964111328,104.79618072509766,110.55982208251953,42.20801544189453,18.610780715942383,18.70766258239746,38.0633659362793,17.100337982177734,27.812379837036133,95.66542053222656,77.06884765625,39.37886047363281,43.18144607543945,20.153181076049805,51.33985137939453,28.700939178466797,16.82608413696289,39.42839050292969,47.34370422363281,39.69949722290039,42.138999938964844,25.20762062072754,47.65062713623047,42.978057861328125,23.477882385253906,25.7711238861084,49.68553161621094,14.970181465148926,35.97541809082031
2015-04-16,28.1772518157959,36.38718032836914,19.302000045776367,27.046689987182617,81.92389678955078,37.351993560791016,67.53279876708984,75.1500015258789,101.35841369628906,25.399715423583984,0.541814923286438,20.933242797851562,48.78960037231445,12.778993606567383,41.182594299316406,41.07465744018555,164.02810668945312,28.383764266967773,30.303319931030273,70.14019775390625,83.61559295654297,67.59367370605469,31.918909072875977,61.22080612182617,57.765140533447266,26.36355972290039,13.630999565124512,44.833377838134766,15.9399995803833,29.08829116821289,89.65721130371094,58.04346466064453,61.88408279418945,74.3717041015625,44.428382873535156,39.65595626831055,61.685916900634766,13.779999732971191,47.57677459716797,75.64656829833984,22.339582443237305,40.66204071044922,38.64609146118164,128.64306640625,104.34695434570312,46.70095443725586,73.28839111328125,125.12843322753906,60.204742431640625,35.408111572265625,61.06897735595703,76.51500701904297,123.23094177246094,26.49144744873047,12.075753211975098,29.961910247802734,23.816213607788086,99.52120971679688,80.29285430908203,190.36000061035156,33.18000030517578,50.317413330078125,31.351806640625,17.929475784301758,133.73849487304688,150.7865753173828,58.03330993652344,113.1253890991211,65.4221420288086,99.14217376708984,80.54281616210938,74.40711975097656,68.77368927001953,146.8885498046875,86.5811767578125,9.253284454345703,138.85919189453125,107.38217163085938,77.77338409423828,63.10014343261719,29.568492889404297,71.94691467285156,21.6943359375,123.2957763671875,55.488338470458984,77.16899108886719,40.33643341064453,30.199094772338867,21.180158615112305,88.2719955444336,30.07299041748047,23.0517520904541,27.2417049407959,51.149024963378906,83.82047271728516,43.651611328125,56.664119720458984,71.79498291015625,50.16267776489258,59.96927261352539,54.834232330322266,36.46775817871094,73.9144058227539,46.47060775756836,26.100921630859375,29.008718490600586,39.156105041503906,66.04862976074219,32.15018844604492,56.94953918457031,115.5726547241211,191.22059631347656,129.84852600097656,121.55699920654297,45.65449142456055,45.38225173950195,50.43915557861328,53.321876525878906,92.86685943603516,45.261199951171875,15.797212600708008,46.06390380859375,20.57807731628418,100.758056640625,86.12675476074219,104.62603759765625,110.0082778930664,41.86140441894531,18.666099548339844,18.852468490600586,37.169063568115234,16.842700958251953,27.075450897216797,95.44650268554688,76.09415435791016,39.38703536987305,44.12737274169922,20.07193374633789,50.87263870239258,28.642499923706055,16.6861572265625,39.07159423828125,46.93840789794922,39.348426818847656,42.24301528930664,25.068756103515625,47.65062713623047,42.420963287353516,23.15599250793457,25.578458786010742,49.35624313354492,14.65405559539795,36.054195404052734
2015-04-17,27.860132217407227,35.92111587524414,18.777999877929688,26.51025390625,80.40106201171875,36.956642150878906,65.4444580078125,73.1500015258789,99.82991790771484,25.090625762939453,0.5348285436630249,20.435527801513672,48.04793167114258,12.592849731445312,40.61155319213867,40.352317810058594,161.68496704101562,27.92031478881836,29.95046043395996,67.0280532836914,81.92858123779297,66.98226928710938,31.483577728271484,60.16703796386719,57.190799713134766,25.84607696533203,13.678999900817871,43.82778549194336,15.760000228881836,28.743112564086914,88.65283203125,57.53806686401367,60.6059684753418,73.78842163085938,43.8279914855957,39.13816833496094,60.25521469116211,13.78600025177002,47.73239517211914,75.48737335205078,22.24435806274414,39.98714065551758,38.421791076660156,128.26441955566406,101.86697387695312,47.92570114135742,71.89834594726562,122.66143798828125,59.79042053222656,35.095726013183594,60.221378326416016,75.92509460449219,121.6812515258789,26.007572174072266,11.987258911132812,29.736909866333008,23.317298889160156,98.22310638427734,81.6500015258789,186.74000549316406,32.79999923706055,49.42150115966797,31.381141662597656,17.624549865722656,131.65284729003906,149.0272216796875,56.86257553100586,113.00100708007812,64.59989166259766,96.64405822753906,78.82221221923828,73.21075439453125,68.22999572753906,145.8123779296875,86.63710021972656,9.504454612731934,136.1224822998047,105.86603546142578,75.89714050292969,62.36711120605469,29.350013732910156,71.46952056884766,21.321992874145508,121.16694641113281,54.85489273071289,76.52400970458984,40.23600769042969,29.569334030151367,21.134830474853516,87.85299682617188,29.798948287963867,22.60643768310547,27.08469009399414,51.329654693603516,82.98497009277344,43.20870590209961,56.14741897583008,71.11067199707031,49.20319747924805,59.35019302368164,53.983097076416016,36.000972747802734,73.3336181640625,46.0030403137207,26.232372283935547,28.808197021484375,38.68563461303711,65.57453918457031,32.08284378051758,56.843589782714844,114.45398712158203,186.9300079345703,128.804931640625,121.03205108642578,45.38334274291992,45.312862396240234,50.1923828125,53.045413970947266,92.13839721679688,44.82876205444336,15.661027908325195,45.79257583618164,20.57807731628418,100.10152435302734,85.61995697021484,103.16627502441406,108.74557495117188,41.040870666503906,18.626590728759766,18.70766258239746,36.40809631347656,16.456256866455078,26.17475700378418,95.38760375976562,75.3401107788086,38.969852447509766,43.86680603027344,19.953937530517578,50.87263870239258,28.642499923706055,16.48626136779785,38.98765182495117,46.72266387939453,39.008331298828125,42.26383590698242,25.119916915893555,48.05443572998047,42.00142288208008,23.03774642944336,25.563640594482422,49.209903717041016,14.68215560913086,35.83937072753906
